"","name","Value","Cost","method","Nodes","Edges","Labels","Max","Instance","Base.Value","Base.Cost","Diff.Value","Diff.Cost","Diff.Has"
"1","100_990_100_6_1",14,2686382,"pilot.json",100,990,100,6,1,14,4485816,0,-40.1138611124487,FALSE
"2","100_990_100_6_10",12,2656572,"pilot.json",100,990,100,6,10,12,4424274,0,-39.9546230635806,FALSE
"3","100_990_100_6_2",14,2675456,"pilot.json",100,990,100,6,2,14,4455544,0,-39.9522033673105,FALSE
"4","100_990_100_6_3",15,2667686,"pilot.json",100,990,100,6,3,15,4445570,0,-39.9922619596587,FALSE
"5","100_990_100_6_4",12,2685970,"pilot.json",100,990,100,6,4,12,4464110,0,-39.8319037837329,FALSE
"6","100_990_100_6_5",13,2671594,"pilot.json",100,990,100,6,5,13,4451724,0,-39.9874295890761,FALSE
"7","100_990_100_6_6",13,2650560,"pilot.json",100,990,100,6,6,13,4399550,0,-39.7538384607517,FALSE
"8","100_990_100_6_7",13,2699326,"pilot.json",100,990,100,6,7,13,4500630,0,-40.023374505347,FALSE
"9","100_990_100_6_8",12,2654830,"pilot.json",100,990,100,6,8,12,4416806,0,-39.8925377297531,FALSE
"10","100_990_100_6_9",13,2674750,"pilot.json",100,990,100,6,9,13,4457622,0,-39.9960337597042,FALSE
"11","100_990_125_6_1",19,4431059,"pilot.json",100,990,125,6,1,19,7370955,0,-39.8848724486854,FALSE
"12","100_990_125_6_10",24,4348867,"pilot.json",100,990,125,6,10,24,7228879,0,-39.8403680570667,FALSE
"13","100_990_125_6_2",22,4381155,"pilot.json",100,990,125,6,2,22,7274703,0,-39.775479493802,FALSE
"14","100_990_125_6_3",18,4391425,"pilot.json",100,990,125,6,3,18,7303361,0,-39.871177119685,FALSE
"15","100_990_125_6_4",20,4425263,"pilot.json",100,990,125,6,4,20,7385977,0,-40.0856108812687,FALSE
"16","100_990_125_6_5",18,4427549,"pilot.json",100,990,125,6,5,18,7363769,0,-39.8738743705839,FALSE
"17","100_990_125_6_6",20,4466323,"pilot.json",100,990,125,6,6,20,7446555,0,-40.0216207360316,FALSE
"18","100_990_125_6_7",22,4457869,"pilot.json",100,990,125,6,7,22,7421897,0,-39.9362588836789,FALSE
"19","100_990_125_6_8",21,4366057,"pilot.json",100,990,125,6,8,21,7263533,0,-39.8907253536261,FALSE
"20","100_990_125_6_9",21,4388207,"pilot.json",100,990,125,6,9,21,7300145,0,-39.8887693326639,FALSE
"21","100_990_25_3_1",3,34095,"pilot.json",100,990,25,3,1,3,56345,0,-39.4888632531724,FALSE
"22","100_990_25_3_10",3,32787,"pilot.json",100,990,25,3,10,3,54519,0,-39.861332746382,FALSE
"23","100_990_25_3_2",3,32795,"pilot.json",100,990,25,3,2,3,53887,0,-39.1411657728209,FALSE
"24","100_990_25_3_3",1,33663,"pilot.json",100,990,25,3,3,1,55593,0,-39.4474124440127,FALSE
"25","100_990_25_3_4",2,32961,"pilot.json",100,990,25,3,4,2,55021,0,-40.0937823740027,FALSE
"26","100_990_25_3_5",3,32735,"pilot.json",100,990,25,3,5,3,53965,0,-39.3403131659409,FALSE
"27","100_990_25_3_6",2,32877,"pilot.json",100,990,25,3,6,2,55313,0,-40.5618932258239,FALSE
"28","100_990_25_3_8",2,33631,"pilot.json",100,990,25,3,8,2,55421,0,-39.3172263221523,FALSE
"29","100_990_25_3_9",3,32903,"pilot.json",100,990,25,3,9,3,55285,0,-40.4847607850231,FALSE
"30","100_990_50_3_1",16,176584,"pilot.json",100,990,50,3,1,16,294812,0,-40.1028452030447,FALSE
"31","100_990_50_3_2",20,177050,"pilot.json",100,990,50,3,2,20,294504,0,-39.8819710428381,FALSE
"32","100_990_50_3_4",21,171434,"pilot.json",100,990,50,3,4,21,285336,0,-39.9185521630639,FALSE
"33","100_990_50_3_5",18,173138,"pilot.json",100,990,50,3,5,18,287146,0,-39.7038440375279,FALSE
"34","100_990_50_3_6",17,169206,"pilot.json",100,990,50,3,6,17,281150,0,-39.8164680775387,FALSE
"35","100_990_50_3_7",22,172530,"pilot.json",100,990,50,3,7,22,289800,0,-40.4658385093168,FALSE
"36","100_990_50_3_9",16,172946,"pilot.json",100,990,50,3,9,16,287598,0,-39.8653676312074,FALSE
"37","100_990_50_6_10",1,532397,"pilot.json",100,990,50,6,10,1,896790,0,-40.6330356047681,FALSE
"38","100_990_50_6_3",1,528309,"pilot.json",100,990,50,6,3,1,889258,0,-40.5899075408936,FALSE
"39","100_990_50_6_8",1,529631,"pilot.json",100,990,50,6,8,1,893882,0,-40.7493382795492,FALSE
"40","1000_99900_1000_15_1",1,2424425162,"pilot.json",1000,99900,1000,15,1,1,4030297382,0,-39.8450056606766,FALSE
"41","1000_99900_1000_15_2",1,2411812716,"pilot.json",1000,99900,1000,15,2,1,4010389710,0,-39.8608890805278,FALSE
"42","1000_99900_1000_15_3",1,2418455350,"pilot.json",1000,99900,1000,15,3,1,4021478832,0,-39.8615422079138,FALSE
"43","1000_99900_1000_15_7",1,2421168340,"pilot.json",1000,99900,1000,15,7,1,4025288980,0,-39.8510677859456,FALSE
"44","1000_99900_1000_15_8",1,2421412112,"pilot.json",1000,99900,1000,15,8,1,4025707376,0,-39.8512637447099,FALSE
"45","1000_99900_1000_15_9",1,2419716908,"pilot.json",1000,99900,1000,15,9,1,4022966686,0,-39.8524249176445,FALSE
"46","1000_99900_1000_7_10",180,586981991,"pilot.json",1000,99900,1000,7,10,180,974951266,0,-39.7937095452728,FALSE
"47","1000_99900_1000_7_4",185,584663171,"pilot.json",1000,99900,1000,7,4,185,971327150,0,-39.8078010071066,FALSE
"48","1000_99900_1000_7_5",181,587158419,"pilot.json",1000,99900,1000,7,5,181,975597224,0,-39.8154889583819,FALSE
"49","1000_99900_1000_7_6",184,588200539,"pilot.json",1000,99900,1000,7,6,184,976909510,0,-39.7896598427013,FALSE
"50","1000_99900_1250_15_1",11,3958783007,"pilot.json",1000,99900,1250,15,1,11,6575923468,0,-39.7988278564315,FALSE
"51","1000_99900_1250_15_10",12,3959316367,"pilot.json",1000,99900,1250,15,10,12,6576716220,0,-39.7979746342165,FALSE
"52","1000_99900_1250_15_2",10,3959417117,"pilot.json",1000,99900,1250,15,2,10,6576081046,0,-39.7906277416034,FALSE
"53","1000_99900_1250_15_3",10,3953692833,"pilot.json",1000,99900,1250,15,3,10,6567174196,0,-39.7961327810041,FALSE
"54","1000_99900_1250_15_4",12,3953756311,"pilot.json",1000,99900,1250,15,4,12,6568092116,0,-39.8035800781695,FALSE
"55","1000_99900_1250_15_5",9,3954782819,"pilot.json",1000,99900,1250,15,5,9,6569232152,0,-39.7984006731142,FALSE
"56","1000_99900_1250_15_6",9,3954303655,"pilot.json",1000,99900,1250,15,6,9,6567936884,0,-39.7938237708558,FALSE
"57","1000_99900_1250_15_7",12,3956864077,"pilot.json",1000,99900,1250,15,7,12,6571973408,0,-39.7918428552473,FALSE
"58","1000_99900_1250_15_8",10,3955924793,"pilot.json",1000,99900,1250,15,8,10,6570957812,0,-39.7968316616549,FALSE
"59","1000_99900_1250_15_9",12,3957235933,"pilot.json",1000,99900,1250,15,9,12,6574156968,0,-39.8061842413861,FALSE
"60","1000_99900_250_3_1",57,6533232,"pilot.json",1000,99900,250,3,1,57,10890298,0,-40.0086939769692,FALSE
"61","1000_99900_250_3_10",55,6573112,"pilot.json",1000,99900,250,3,10,55,10953662,0,-39.9916484551011,FALSE
"62","1000_99900_250_3_2",57,6570314,"pilot.json",1000,99900,250,3,2,57,10938860,0,-39.9360262403943,FALSE
"63","1000_99900_250_3_3",52,6609412,"pilot.json",1000,99900,250,3,3,52,11023740,0,-40.0438326738475,FALSE
"64","1000_99900_250_3_4",57,6561292,"pilot.json",1000,99900,250,3,4,57,10946354,0,-40.0595668658258,FALSE
"65","1000_99900_250_3_5",58,6594736,"pilot.json",1000,99900,250,3,5,58,10991084,0,-39.9992211869184,FALSE
"66","1000_99900_250_3_6",60,6550662,"pilot.json",1000,99900,250,3,6,60,10917286,0,-39.9973399982377,FALSE
"67","1000_99900_250_3_7",60,6608332,"pilot.json",1000,99900,250,3,7,60,11017324,0,-40.0187196092263,FALSE
"68","1000_99900_250_3_8",51,6574468,"pilot.json",1000,99900,250,3,8,51,10951740,0,-39.968735561655,FALSE
"69","1000_99900_250_3_9",51,6524198,"pilot.json",1000,99900,250,3,9,51,10885002,0,-40.0625006775378,FALSE
"70","1000_99900_500_7_1",15,131224086,"pilot.json",1000,99900,500,7,1,15,218236396,0,-39.8706685020587,FALSE
"71","1000_99900_500_7_10",16,130823764,"pilot.json",1000,99900,500,7,10,16,217515476,0,-39.8554225171546,FALSE
"72","1000_99900_500_7_2",14,131164874,"pilot.json",1000,99900,500,7,2,15,218197570,-6.66666666666667,-39.8871059838109,FALSE
"73","1000_99900_500_7_3",14,131033836,"pilot.json",1000,99900,500,7,3,13,218112574,7.69230769230769,-39.9237588200669,FALSE
"74","1000_99900_500_7_4",12,130873602,"pilot.json",1000,99900,500,7,4,12,217742442,0,-39.8952263059491,FALSE
"75","1000_99900_500_7_5",15,131047902,"pilot.json",1000,99900,500,7,5,15,217928458,0,-39.8665492324091,FALSE
"76","1000_99900_500_7_6",16,131024730,"pilot.json",1000,99900,500,7,6,16,217995230,0,-39.8955977156014,FALSE
"77","1000_99900_500_7_7",14,130723954,"pilot.json",1000,99900,500,7,7,14,217374200,0,-39.8622495217924,FALSE
"78","1000_99900_500_7_8",16,130877372,"pilot.json",1000,99900,500,7,8,13,217926338,23.0769230769231,-39.9442154623825,FALSE
"79","1000_99900_500_7_9",14,130876104,"pilot.json",1000,99900,500,7,9,14,217595272,0,-39.8534247563982,FALSE
"80","200_3980_100_6_1",2,2721566,"pilot.json",200,3980,100,6,1,2,4544592,0,-40.1141840675687,FALSE
"81","200_3980_100_6_10",2,2718538,"pilot.json",200,3980,100,6,10,2,4541636,0,-40.1418783891972,FALSE
"82","200_3980_100_6_2",1,2732652,"pilot.json",200,3980,100,6,2,1,4570342,0,-40.2090259328514,FALSE
"83","200_3980_100_6_3",1,2731742,"pilot.json",200,3980,100,6,3,1,4568972,0,-40.2110146439943,FALSE
"84","200_3980_100_6_4",1,2739606,"pilot.json",200,3980,100,6,4,1,4580748,0,-40.1930427083088,FALSE
"85","200_3980_100_6_5",2,2752554,"pilot.json",200,3980,100,6,5,2,4600594,0,-40.1695954913648,FALSE
"86","200_3980_100_6_6",2,2724042,"pilot.json",200,3980,100,6,6,2,4580542,0,-40.5301381364913,FALSE
"87","200_3980_100_6_7",1,2727062,"pilot.json",200,3980,100,6,7,1,4556442,0,-40.149309483145,FALSE
"88","200_3980_100_6_8",2,2731778,"pilot.json",200,3980,100,6,8,2,4561632,0,-40.1140205961375,FALSE
"89","200_3980_100_6_9",1,2733056,"pilot.json",200,3980,100,6,9,1,4566326,0,-40.1475934920109,FALSE
"90","200_3980_200_6_1",29,12877715,"pilot.json",200,3980,200,6,1,29,21403278,0,-39.8329779204849,FALSE
"91","200_3980_200_6_10",31,12941613,"pilot.json",200,3980,200,6,10,31,21536448,0,-39.9083219294101,FALSE
"92","200_3980_200_6_2",28,12881199,"pilot.json",200,3980,200,6,2,28,21453056,0,-39.9563446811494,FALSE
"93","200_3980_200_6_3",40,12783591,"pilot.json",200,3980,200,6,3,40,21269002,0,-39.8956707042484,FALSE
"94","200_3980_200_6_4",33,12769205,"pilot.json",200,3980,200,6,4,33,21251756,0,-39.9145887050463,FALSE
"95","200_3980_200_6_5",34,12849649,"pilot.json",200,3980,200,6,5,34,21388162,0,-39.9216772343505,FALSE
"96","200_3980_200_6_6",34,12902843,"pilot.json",200,3980,200,6,6,34,21453558,0,-39.8568619713336,FALSE
"97","200_3980_200_6_7",31,12885225,"pilot.json",200,3980,200,6,7,31,21430580,0,-39.8745857554952,FALSE
"98","200_3980_200_6_8",29,12889271,"pilot.json",200,3980,200,6,8,29,21462298,0,-39.9445902764,FALSE
"99","200_3980_200_6_9",38,12869197,"pilot.json",200,3980,200,6,9,38,21431558,0,-39.9521164070293,FALSE
"100","200_3980_250_12_1",1,73358630,"pilot.json",200,3980,250,12,1,1,122409244,0,-40.0710047682347,FALSE
"101","200_3980_250_12_2",1,73048796,"pilot.json",200,3980,250,12,2,1,122030682,0,-40.1389922577012,FALSE
"102","200_3980_250_12_5",1,73001348,"pilot.json",200,3980,250,12,5,1,121869894,0,-40.0989484736895,FALSE
"103","200_3980_250_12_7",1,73149778,"pilot.json",200,3980,250,12,7,1,122078974,0,-40.0799534897795,FALSE
"104","200_3980_250_12_8",1,73435774,"pilot.json",200,3980,250,12,8,1,122583248,0,-40.0931406222814,FALSE
"105","200_3980_250_6_10",45,20940247,"pilot.json",200,3980,250,6,10,45,34831188,0,-39.8807557181225,FALSE
"106","200_3980_250_6_3",47,20929105,"pilot.json",200,3980,250,6,3,47,34808696,0,-39.8739182875452,FALSE
"107","200_3980_250_6_4",50,20945379,"pilot.json",200,3980,250,6,4,50,34839670,0,-39.8806619006437,FALSE
"108","200_3980_250_6_6",48,21029871,"pilot.json",200,3980,250,6,6,48,34996466,0,-39.9085867698756,FALSE
"109","200_3980_250_6_9",49,21111517,"pilot.json",200,3980,250,6,9,49,35114846,0,-39.8786570215914,FALSE
"110","200_3980_50_3_1",7,175098,"pilot.json",200,3980,50,3,1,7,293056,0,-40.2510100458615,FALSE
"111","200_3980_50_3_10",7,176832,"pilot.json",200,3980,50,3,10,7,295144,0,-40.0861952131841,FALSE
"112","200_3980_50_3_2",3,177552,"pilot.json",200,3980,50,3,2,3,297072,0,-40.2326708676684,FALSE
"113","200_3980_50_3_3",7,176750,"pilot.json",200,3980,50,3,3,7,295574,0,-40.2011002320908,FALSE
"114","200_3980_50_3_4",6,175268,"pilot.json",200,3980,50,3,4,6,292356,0,-40.0498022958311,FALSE
"115","200_3980_50_3_5",7,179668,"pilot.json",200,3980,50,3,5,7,300182,0,-40.1469775003165,FALSE
"116","200_3980_50_3_6",6,179366,"pilot.json",200,3980,50,3,6,6,298970,0,-40.0053517075292,FALSE
"117","200_3980_50_3_7",8,175200,"pilot.json",200,3980,50,3,7,8,292810,0,-40.165977937912,FALSE
"118","200_3980_50_3_8",6,176328,"pilot.json",200,3980,50,3,8,6,294514,0,-40.1291619413678,FALSE
"119","200_3980_50_3_9",6,181372,"pilot.json",200,3980,50,3,9,6,302038,0,-39.950602242102,FALSE
"120","300_8970_150_4_1",30,3496551,"pilot.json",300,8970,150,4,1,30,5843728,0,-40.1657469341489,FALSE
